
mgmt-fspm;F-Secure Policy Manager;15.11.94088
mgmt-fspm;linuxconfig;1.2.3
mgmt-fspm;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-fspm;OpenSSH;7.4p1
mgmt-fspm;OpenSSL;1.0.2k-fips
mgmt-fspm;Rsyslog;8.24.0
mgmt-instp;Apache;2.4.51
mgmt-instp;Filebeat;7.17.1
mgmt-instp;ISC-DHCP;4.4.1
mgmt-instp;Linux kernel;5.10.0-9-amd64
mgmt-instp;OpenSSH;8.4p1 
mgmt-instp;OpenSSL;1.1.1k
mgmt-instp;Rsyslog;8.2102.0
mgmt-instp;Samba;4.13.13
mgmt-instp;TFTP-HPA;5.2
mgmt-ldap;Chrony;3.4
mgmt-ldap;Filebeat;8.4.2
mgmt-ldap;FirewallD;0.6.3
mgmt-ldap;F-Secure Linux Security;12.0.35
mgmt-ldap;ldap-migrator-6;2.0.0
mgmt-ldap;linuxconfig-44;2.1.1
mgmt-ldap;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-ldap;OpenLDAP;2.4.44
mgmt-ldap;OpenSSH;7.4p1
mgmt-ldap;OpenSSL;1.0.2k-fips
mgmt-ldap;Rsyslog;8.24.0
mgmt-nms;Chrony;3.4
mgmt-nms;Filebeat;7.15.1
mgmt-nms;FirewallD;0.6.3
mgmt-nms;F-Secure Linux Security;12.0.50
mgmt-nms;linuxconfig-25;2.1.1
mgmt-nms;Linux kernel;3.10.0-1160.53.1.el7.x86_64
mgmt-nms;OpenSSH;7.4p1
mgmt-nms;OpenSSL;1.0.2k-fips
mgmt-nms;Rsyslog;8.24.0
mgmt-opmon;Chrony;3.4
mgmt-opmon;Filebeat;7.15.1
mgmt-opmon;FirewallD;0.6.3
mgmt-opmon;F-Secure Linux Security;12.0.50
mgmt-opmon;linuxconfig-23;2.1.1
mgmt-opmon;Linux kernel;3.10.0-1160.53.1.el7.x86_64
mgmt-opmon;OpenSSH;7.4p1
